Commodity,Date,Unit,Minimum,Maximum,Average
Onion Dry (Indian),2013-07-04,Kg,40.0,42.0,41.0
Onion Green,2013-07-04,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2013-07-05,Kg,30.0,35.0,32.5
Tomato Small(Local),2013-07-05,Kg,18.0,24.0,21.0
Potato Red,2013-07-05,Kg,22.0,24.0,23.0
Potato White,2013-07-05,Kg,18.0,19.0,18.5
Onion Dry (Indian),2013-07-05,Kg,40.0,42.0,41.0
Onion Green,2013-07-05,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2013-07-09,Kg,55.0,60.0,57.5
Tomato Small(Local),2013-07-09,Kg,20.0,25.0,22.5
Potato Red,2013-07-09,Kg,23.0,24.0,23.5
Potato White,2013-07-09,Kg,18.0,20.0,19.0
Onion Dry (Indian),2013-07-09,Kg,44.0,46.0,45.0
Onion Green,2013-07-09,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2013-07-10,Kg,55.0,60.0,57.5
Tomato Small(Local),2013-07-10,Kg,30.0,35.0,32.5
Potato Red,2013-07-10,Kg,23.0,24.0,23.5
Potato White,2013-07-10,Kg,18.0,20.0,19.0
Onion Dry (Indian),2013-07-10,Kg,45.0,47.0,46.0
Onion Green,2013-07-10,Kg,30.0,35.0,32.5
Tomato Big(Nepali),2013-07-11,Kg,55.0,60.0,57.5
Tomato Small(Local),2013-07-11,Kg,32.0,38.0,35.0
Potato Red,2013-07-11,Kg,23.0,24.0,23.5
Potato White,2013-07-11,Kg,18.0,20.0,19.0
Onion Dry (Indian),2013-07-11,Kg,44.0,46.0,45.0
Onion Green,2013-07-11,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2013-07-12,Kg,70.0,80.0,75.0
Tomato Small(Local),2013-07-12,Kg,44.0,48.0,46.0
Potato Red,2013-07-12,Kg,23.0,24.0,23.5
Potato White,2013-07-12,Kg,19.0,20.0,19.5
Onion Dry (Indian),2013-07-12,Kg,44.0,46.0,45.0
Onion Green,2013-07-12,Kg,40.0,45.0,42.5
Tomato Big(Nepali),2013-07-14,Kg,75.0,80.0,77.5
Tomato Small(Local),2013-07-14,Kg,50.0,55.0,52.5
Potato Red,2013-07-14,Kg,24.0,24.0,24.0
Potato White,2013-07-14,Kg,18.0,19.0,18.5
Onion Dry (Indian),2013-07-14,Kg,44.0,46.0,45.0
Onion Green,2013-07-14,Kg,40.0,45.0,42.5
Tomato Big(Nepali),2013-07-15,Kg,75.0,80.0,77.5
Tomato Small(Local),2013-07-15,Kg,50.0,55.0,52.5
Potato Red,2013-07-15,Kg,23.0,24.0,23.5
Potato White,2013-07-15,Kg,19.0,20.0,19.5
Onion Dry (Indian),2013-07-15,Kg,44.0,46.0,45.0
Onion Green,2013-07-15,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2013-07-16,Kg,80.0,90.0,85.0
Tomato Small(Local),2013-07-16,Kg,48.0,52.0,50.0
Potato Red,2013-07-16,Kg,23.0,24.0,23.5
Potato White,2013-07-16,Kg,19.0,20.0,19.5
Onion Dry (Indian),2013-07-16,Kg,46.0,48.0,47.0
Onion Green,2013-07-16,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2013-07-17,Kg,80.0,90.0,85.0
Tomato Small(Local),2013-07-17,Kg,46.0,52.0,49.0
Potato Red,2013-07-17,Kg,23.0,24.0,23.5
Potato White,2013-07-17,Kg,18.0,19.0,18.5
Onion Dry (Indian),2013-07-17,Kg,48.0,50.0,49.0
Onion Green,2013-07-17,Kg,30.0,35.0,32.5
Tomato Big(Nepali),2013-07-18,Kg,65.0,70.0,67.5
Tomato Small(Local),2013-07-18,Kg,40.0,45.0,42.5
Potato Red,2013-07-18,Kg,23.0,24.0,23.5
Potato White,2013-07-18,Kg,19.0,20.0,19.5
Onion Dry (Indian),2013-07-18,Kg,52.0,55.0,53.5
Onion Green,2013-07-18,Kg,30.0,35.0,32.5
Tomato Big(Nepali),2013-07-19,Kg,55.0,60.0,57.5
Tomato Small(Local),2013-07-19,Kg,36.0,40.0,38.0
Potato Red,2013-07-19,Kg,23.0,24.0,23.5
Potato White,2013-07-19,Kg,18.0,19.0,18.5
Onion Dry (Indian),2013-07-19,Kg,50.0,53.0,51.5
Onion Green,2013-07-19,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2013-07-21,Kg,50.0,55.0,52.5
Tomato Small(Local),2013-07-21,Kg,28.0,32.0,30.0
Potato Red,2013-07-21,Kg,24.0,25.0,24.5
Potato White,2013-07-21,Kg,19.0,20.0,19.5
Onion Dry (Indian),2013-07-21,Kg,50.0,53.0,51.5
Onion Green,2013-07-21,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2013-07-22,Kg,55.0,60.0,57.5
Tomato Small(Local),2013-07-22,Kg,28.0,32.0,30.0
Potato Red,2013-07-22,Kg,23.0,24.0,23.5
Potato White,2013-07-22,Kg,19.0,20.0,19.5
Onion Dry (Indian),2013-07-22,Kg,50.0,52.0,51.0
Onion Green,2013-07-22,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2013-07-23,Kg,55.0,60.0,57.5
Tomato Small(Local),2013-07-23,Kg,30.0,35.0,32.5
Potato Red,2013-07-23,Kg,23.0,24.0,23.5
Potato White,2013-07-23,Kg,18.0,19.0,18.5
Onion Dry (Indian),2013-07-23,Kg,50.0,52.0,51.0
Onion Green,2013-07-23,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2013-07-24,Kg,50.0,55.0,52.5
Tomato Small(Local),2013-07-24,Kg,32.0,36.0,34.0
Potato Red,2013-07-24,Kg,23.0,24.0,23.5
Potato White,2013-07-24,Kg,18.0,19.0,18.5
Onion Dry (Indian),2013-07-24,Kg,50.0,52.0,51.0
Onion Green,2013-07-24,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2013-07-25,Kg,50.0,55.0,52.5
Tomato Small(Local),2013-07-25,Kg,40.0,45.0,42.5
Potato Red,2013-07-25,Kg,23.0,24.0,23.5
Potato White,2013-07-25,Kg,18.0,19.0,18.5
Onion Dry (Indian),2013-07-25,Kg,49.0,52.0,50.5
Onion Green,2013-07-25,Kg,35.0,40.0,37.5
Tomato Big(Nepali),2013-07-26,Kg,45.0,50.0,47.5
Tomato Small(Local),2013-07-26,Kg,40.0,45.0,42.5
Potato Red,2013-07-26,Kg,23.0,24.0,23.5
Potato White,2013-07-26,Kg,18.0,19.0,18.5
Onion Dry (Indian),2013-07-26,Kg,49.0,52.0,50.5
Onion Green,2013-07-26,Kg,30.0,35.0,32.5
Tomato Big(Nepali),2013-07-28,Kg,40.0,50.0,45.0
Tomato Small(Local),2013-07-28,Kg,40.0,45.0,42.5
Potato Red,2013-07-28,Kg,23.0,24.0,23.5
Potato White,2013-07-28,Kg,20.0,21.0,20.5
Onion Dry (Indian),2013-07-28,Kg,50.0,51.0,50.5
Onion Green,2013-07-28,Kg,30.0,35.0,32.5
Tomato Big(Nepali),2013-07-29,Kg,50.0,55.0,52.5
Tomato Small(Local),2013-07-29,Kg,42.0,46.0,44.0
Potato Red,2013-07-29,Kg,23.0,24.0,23.5
