Commodity,Date,Unit,Minimum,Maximum,Average
Potato Red,2017-08-17,Kg,32.0,35.0,33.5
Potato White,2017-08-17,Kg,25.0,30.0,27.5
Onion Dry (Indian),2017-08-17,Kg,53.0,55.0,54.0
Onion Green,2017-08-17,Kg,90.0,100.0,95.0
Tomato Small(Local),2017-08-18,Kg,75.0,80.0,77.5
Potato Red,2017-08-18,Kg,33.0,35.0,34.0
Potato White,2017-08-18,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-08-18,Kg,53.0,55.0,54.0
Onion Green,2017-08-18,Kg,90.0,100.0,95.0
Tomato Small(Local),2017-08-19,Kg,75.0,80.0,77.5
Potato Red,2017-08-19,Kg,33.0,35.0,34.0
Potato White,2017-08-19,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-08-19,Kg,53.0,55.0,54.0
Onion Green,2017-08-19,Kg,90.0,100.0,95.0
Tomato Small(Local),2017-08-20,Kg,75.0,80.0,77.5
Potato Red,2017-08-20,Kg,33.0,35.0,34.0
Potato White,2017-08-20,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-08-20,Kg,51.0,53.0,52.0
Onion Green,2017-08-20,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-08-21,Kg,95.0,100.0,97.5
Tomato Small(Local),2017-08-21,Kg,70.0,75.0,72.5
Potato Red,2017-08-21,Kg,33.0,35.0,34.0
Potato White,2017-08-21,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-08-21,Kg,50.0,53.0,51.5
Onion Green,2017-08-21,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-08-22,Kg,100.0,110.0,105.0
Tomato Small(Local),2017-08-22,Kg,70.0,75.0,72.5
Potato Red,2017-08-22,Kg,33.0,35.0,34.0
Potato White,2017-08-22,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-08-22,Kg,50.0,53.0,51.5
Onion Green,2017-08-22,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-08-23,Kg,90.0,100.0,95.0
Tomato Small(Local),2017-08-23,Kg,65.0,70.0,67.5
Potato Red,2017-08-23,Kg,33.0,35.0,34.0
Potato White,2017-08-23,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-08-23,Kg,50.0,52.0,51.0
Onion Green,2017-08-23,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-08-24,Kg,95.0,100.0,97.5
Tomato Small(Local),2017-08-24,Kg,50.0,55.0,52.5
Potato Red,2017-08-24,Kg,33.0,35.0,34.0
Potato White,2017-08-24,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-08-24,Kg,50.0,53.0,51.5
Onion Green,2017-08-24,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-08-25,Kg,95.0,100.0,97.5
Tomato Small(Local),2017-08-25,Kg,50.0,55.0,52.5
Potato Red,2017-08-25,Kg,33.0,35.0,34.0
Potato White,2017-08-25,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-08-25,Kg,50.0,52.0,51.0
Onion Green,2017-08-25,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-08-26,Kg,95.0,100.0,97.5
Tomato Small(Local),2017-08-26,Kg,50.0,55.0,52.5
Potato Red,2017-08-26,Kg,33.0,35.0,34.0
Potato White,2017-08-26,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-08-26,Kg,50.0,52.0,51.0
Onion Green,2017-08-26,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-08-27,Kg,95.0,100.0,97.5
Tomato Small(Local),2017-08-27,Kg,40.0,45.0,42.5
Potato Red,2017-08-27,Kg,30.0,33.0,31.5
Potato White,2017-08-27,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-08-27,Kg,48.0,50.0,49.0
Onion Green,2017-08-27,Kg,110.0,120.0,115.0
Tomato Big(Nepali),2017-08-28,Kg,85.0,90.0,87.5
Tomato Small(Local),2017-08-28,Kg,38.0,43.0,40.5
Potato Red,2017-08-28,Kg,30.0,33.0,31.5
Potato White,2017-08-28,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-08-28,Kg,48.0,50.0,49.0
Onion Green,2017-08-28,Kg,110.0,120.0,115.0
Tomato Big(Nepali),2017-08-29,Kg,80.0,90.0,85.0
Tomato Small(Local),2017-08-29,Kg,38.0,43.0,40.5
Potato Red,2017-08-29,Kg,30.0,32.0,31.0
Potato White,2017-08-29,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-08-29,Kg,45.0,47.0,46.0
Onion Green,2017-08-29,Kg,110.0,120.0,115.0
Tomato Big(Nepali),2017-08-30,Kg,75.0,80.0,77.5
Tomato Small(Local),2017-08-30,Kg,35.0,40.0,37.5
Potato Red,2017-08-30,Kg,30.0,32.0,31.0
Potato White,2017-08-30,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-08-30,Kg,43.0,45.0,44.0
Onion Green,2017-08-30,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-08-31,Kg,75.0,80.0,77.5
Tomato Small(Local),2017-08-31,Kg,35.0,40.0,37.5
Potato Red,2017-08-31,Kg,30.0,33.0,31.5
Potato White,2017-08-31,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-08-31,Kg,43.0,45.0,44.0
Onion Green,2017-08-31,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-01,Kg,85.0,90.0,87.5
Tomato Small(Local),2017-09-01,Kg,30.0,35.0,32.5
Potato Red,2017-09-01,Kg,30.0,35.0,32.5
Potato White,2017-09-01,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-01,Kg,43.0,45.0,44.0
Onion Green,2017-09-01,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-02,Kg,85.0,90.0,87.5
Tomato Small(Local),2017-09-02,Kg,30.0,35.0,32.5
Potato Red,2017-09-02,Kg,30.0,33.0,31.5
Potato White,2017-09-02,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-02,Kg,43.0,45.0,44.0
Onion Green,2017-09-02,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-03,Kg,80.0,90.0,85.0
Tomato Small(Local),2017-09-03,Kg,32.0,35.0,33.5
Potato Red,2017-09-03,Kg,30.0,33.0,31.5
Potato White,2017-09-03,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-03,Kg,43.0,45.0,44.0
Onion Green,2017-09-03,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-04,Kg,75.0,80.0,77.5
Tomato Small(Local),2017-09-04,Kg,45.0,50.0,47.5
Potato Red,2017-09-04,Kg,30.0,33.0,31.5
Potato White,2017-09-04,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-04,Kg,43.0,45.0,44.0
Onion Green,2017-09-04,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-05,Kg,65.0,70.0,67.5
Tomato Small(Local),2017-09-05,Kg,45.0,50.0,47.5
Potato Red,2017-09-05,Kg,30.0,33.0,31.5
Potato White,2017-09-05,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-05,Kg,43.0,45.0,44.0
Onion Green,2017-09-05,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-06,Kg,65.0,70.0,67.5
Tomato Small(Local),2017-09-06,Kg,45.0,50.0,47.5
Potato Red,2017-09-06,Kg,30.0,33.0,31.5
Potato White,2017-09-06,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-06,Kg,43.0,45.0,44.0
Onion Green,2017-09-06,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-07,Kg,65.0,70.0,67.5
Tomato Small(Local),2017-09-07,Kg,45.0,50.0,47.5
Potato Red,2017-09-07,Kg,30.0,33.0,31.5
Potato White,2017-09-07,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-07,Kg,43.0,45.0,44.0
Onion Green,2017-09-07,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-08,Kg,65.0,70.0,67.5
Tomato Small(Local),2017-09-08,Kg,45.0,50.0,47.5
Potato Red,2017-09-08,Kg,30.0,33.0,31.5
Potato White,2017-09-08,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-08,Kg,43.0,45.0,44.0
Onion Green,2017-09-08,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-09,Kg,65.0,70.0,67.5
Tomato Small(Local),2017-09-09,Kg,45.0,50.0,47.5
Potato Red,2017-09-09,Kg,30.0,33.0,31.5
Potato White,2017-09-09,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-09,Kg,43.0,45.0,44.0
Onion Green,2017-09-09,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-10,Kg,65.0,70.0,67.5
Tomato Small(Local),2017-09-10,Kg,45.0,50.0,47.5
Potato Red,2017-09-10,Kg,30.0,32.0,31.0
Potato White,2017-09-10,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-10,Kg,40.0,42.0,41.0
Onion Green,2017-09-10,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-09-11,Kg,55.0,60.0,57.5
Tomato Small(Local),2017-09-11,Kg,45.0,50.0,47.5
Potato Red,2017-09-11,Kg,30.0,32.0,31.0
Potato White,2017-09-11,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-11,Kg,40.0,43.0,41.5
Onion Green,2017-09-11,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-09-12,Kg,45.0,50.0,47.5
Tomato Small(Local),2017-09-12,Kg,35.0,40.0,37.5
Potato Red,2017-09-12,Kg,30.0,32.0,31.0
Potato White,2017-09-12,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-12,Kg,40.0,42.0,41.0
Onion Green,2017-09-12,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-09-13,Kg,45.0,50.0,47.5
Tomato Small(Local),2017-09-13,Kg,35.0,40.0,37.5
Potato Red,2017-09-13,Kg,30.0,33.0,31.5
Potato White,2017-09-13,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-13,Kg,40.0,42.0,41.0
Onion Green,2017-09-13,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-14,Kg,45.0,50.0,47.5
Tomato Small(Local),2017-09-14,Kg,35.0,40.0,37.5
Potato Red,2017-09-14,Kg,30.0,33.0,31.5
Potato White,2017-09-14,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-14,Kg,40.0,43.0,41.5
Onion Green,2017-09-14,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-09-15,Kg,45.0,50.0,47.5
Tomato Small(Local),2017-09-15,Kg,35.0,45.0,40.0
Potato Red,2017-09-15,Kg,30.0,33.0,31.5
Potato White,2017-09-15,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-15,Kg,38.0,40.0,39.0
Onion Green,2017-09-15,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-16,Kg,45.0,50.0,47.5
Tomato Small(Local),2017-09-16,Kg,35.0,40.0,37.5
Potato Red,2017-09-16,Kg,30.0,33.0,31.5
Potato White,2017-09-16,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-16,Kg,38.0,40.0,39.0
Onion Green,2017-09-16,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-17,Kg,45.0,50.0,47.5
Tomato Small(Local),2017-09-17,Kg,35.0,40.0,37.5
Potato Red,2017-09-17,Kg,30.0,32.0,31.0
Potato White,2017-09-17,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-17,Kg,39.0,41.0,40.0
Onion Green,2017-09-17,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-18,Kg,50.0,55.0,52.5
Tomato Small(Local),2017-09-18,Kg,40.0,45.0,42.5
Potato Red,2017-09-18,Kg,30.0,32.0,31.0
Potato White,2017-09-18,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-18,Kg,39.0,41.0,40.0
Onion Green,2017-09-18,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-20,Kg,55.0,60.0,57.5
Tomato Small(Local),2017-09-20,Kg,45.0,50.0,47.5
Potato Red,2017-09-20,Kg,30.0,32.0,31.0
Potato White,2017-09-20,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-20,Kg,38.0,40.0,39.0
Onion Green,2017-09-20,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-21,Kg,50.0,60.0,55.0
Tomato Small(Local),2017-09-21,Kg,60.0,70.0,65.0
Potato Red,2017-09-21,Kg,30.0,32.0,31.0
Potato White,2017-09-21,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-21,Kg,38.0,40.0,39.0
Onion Green,2017-09-21,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-22,Kg,60.0,65.0,62.5
Tomato Small(Local),2017-09-22,Kg,65.0,75.0,70.0
Potato Red,2017-09-22,Kg,30.0,32.0,31.0
Potato White,2017-09-22,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-22,Kg,40.0,42.0,41.0
Onion Green,2017-09-22,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-23,Kg,60.0,65.0,62.5
Tomato Small(Local),2017-09-23,Kg,70.0,80.0,75.0
Potato Red,2017-09-23,Kg,30.0,32.0,31.0
Potato White,2017-09-23,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-23,Kg,40.0,42.0,41.0
Onion Green,2017-09-23,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-24,Kg,45.0,50.0,47.5
Tomato Small(Local),2017-09-24,Kg,60.0,65.0,62.5
Potato Red,2017-09-24,Kg,30.0,32.0,31.0
Potato White,2017-09-24,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-24,Kg,40.0,42.0,41.0
Onion Green,2017-09-24,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-25,Kg,45.0,50.0,47.5
Tomato Small(Local),2017-09-25,Kg,55.0,65.0,60.0
Potato Red,2017-09-25,Kg,30.0,32.0,31.0
Potato White,2017-09-25,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-25,Kg,40.0,42.0,41.0
Onion Green,2017-09-25,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-09-26,Kg,45.0,50.0,47.5
Tomato Small(Local),2017-09-26,Kg,55.0,60.0,57.5
Potato Red,2017-09-26,Kg,30.0,32.0,31.0
Potato White,2017-09-26,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-26,Kg,40.0,42.0,41.0
Onion Green,2017-09-26,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-09-27,Kg,45.0,50.0,47.5
Tomato Small(Local),2017-09-27,Kg,55.0,60.0,57.5
Potato Red,2017-09-27,Kg,30.0,32.0,31.0
Potato White,2017-09-27,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-27,Kg,40.0,42.0,41.0
Onion Green,2017-09-27,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-09-28,Kg,45.0,50.0,47.5
Tomato Small(Local),2017-09-28,Kg,55.0,65.0,60.0
Potato Red,2017-09-28,Kg,30.0,32.0,31.0
Potato White,2017-09-28,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-28,Kg,40.0,42.0,41.0
Onion Green,2017-09-28,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-09-29,Kg,45.0,50.0,47.5
Tomato Small(Local),2017-09-29,Kg,50.0,55.0,52.5
Potato Red,2017-09-29,Kg,30.0,34.0,32.0
Potato White,2017-09-29,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-29,Kg,40.0,42.0,41.0
Onion Green,2017-09-29,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-09-30,Kg,45.0,50.0,47.5
Tomato Small(Local),2017-09-30,Kg,45.0,50.0,47.5
Potato Red,2017-09-30,Kg,30.0,34.0,32.0
Potato White,2017-09-30,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-09-30,Kg,40.0,42.0,41.0
Onion Green,2017-09-30,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-10-01,Kg,40.0,45.0,42.5
Tomato Small(Local),2017-10-01,Kg,35.0,40.0,37.5
Potato Red,2017-10-01,Kg,30.0,34.0,32.0
Potato White,2017-10-01,Kg,25.0,30.0,27.5
Onion Dry (Indian),2017-10-01,Kg,40.0,42.0,41.0
Onion Green,2017-10-01,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-10-02,Kg,45.0,50.0,47.5
Tomato Small(Local),2017-10-02,Kg,25.0,30.0,27.5
Potato Red,2017-10-02,Kg,30.0,32.0,31.0
Potato White,2017-10-02,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-10-02,Kg,40.0,42.0,41.0
Onion Green,2017-10-02,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-10-03,Kg,45.0,50.0,47.5
Tomato Small(Local),2017-10-03,Kg,20.0,25.0,22.5
Potato Red,2017-10-03,Kg,30.0,32.0,31.0
Potato White,2017-10-03,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-10-03,Kg,40.0,42.0,41.0
Onion Green,2017-10-03,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-10-04,Kg,45.0,50.0,47.5
Tomato Small(Local),2017-10-04,Kg,20.0,25.0,22.5
Potato Red,2017-10-04,Kg,30.0,32.0,31.0
Potato White,2017-10-04,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-10-04,Kg,40.0,42.0,41.0
Onion Green,2017-10-04,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-10-05,Kg,40.0,45.0,42.5
Tomato Small(Local),2017-10-05,Kg,20.0,25.0,22.5
Potato Red,2017-10-05,Kg,30.0,34.0,32.0
Potato White,2017-10-05,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-10-05,Kg,40.0,43.0,41.5
Onion Green,2017-10-05,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-10-06,Kg,40.0,45.0,42.5
Tomato Small(Local),2017-10-06,Kg,23.0,26.0,24.5
Potato Red,2017-10-06,Kg,31.0,33.0,32.0
Potato White,2017-10-06,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-10-06,Kg,41.0,44.0,42.5
Onion Green,2017-10-06,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-10-07,Kg,40.0,45.0,42.5
Tomato Small(Local),2017-10-07,Kg,23.0,26.0,24.5
Potato Red,2017-10-07,Kg,31.0,33.0,32.0
Potato White,2017-10-07,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-10-07,Kg,40.0,44.0,42.0
Onion Green,2017-10-07,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-10-08,Kg,55.0,60.0,57.5
Tomato Small(Local),2017-10-08,Kg,30.0,35.0,32.5
Potato Red,2017-10-08,Kg,33.0,35.0,34.0
Potato White,2017-10-08,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-10-08,Kg,48.0,50.0,49.0
Onion Green,2017-10-08,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-10-09,Kg,55.0,60.0,57.5
Tomato Small(Local),2017-10-09,Kg,45.0,55.0,50.0
Potato Red,2017-10-09,Kg,33.0,35.0,34.0
Potato White,2017-10-09,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-10-09,Kg,48.0,50.0,49.0
Onion Green,2017-10-09,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-10-10,Kg,60.0,65.0,62.5
Tomato Small(Local),2017-10-10,Kg,48.0,55.0,51.5
Potato Red,2017-10-10,Kg,33.0,36.0,34.5
Potato White,2017-10-10,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-10-10,Kg,58.0,60.0,59.0
Onion Green,2017-10-10,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-10-11,Kg,75.0,80.0,77.5
Tomato Small(Local),2017-10-11,Kg,58.0,65.0,61.5
Potato Red,2017-10-11,Kg,33.0,35.0,34.0
Potato White,2017-10-11,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-10-11,Kg,58.0,60.0,59.0
Onion Green,2017-10-11,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-10-12,Kg,75.0,80.0,77.5
Tomato Small(Local),2017-10-12,Kg,55.0,60.0,57.5
Potato Red,2017-10-12,Kg,33.0,35.0,34.0
Potato White,2017-10-12,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-10-12,Kg,58.0,60.0,59.0
Onion Green,2017-10-12,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-10-13,Kg,60.0,65.0,62.5
Tomato Small(Local),2017-10-13,Kg,55.0,60.0,57.5
Potato Red,2017-10-13,Kg,33.0,35.0,34.0
Potato White,2017-10-13,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-10-13,Kg,58.0,60.0,59.0
Onion Green,2017-10-13,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-10-14,Kg,60.0,65.0,62.5
Tomato Small(Local),2017-10-14,Kg,65.0,70.0,67.5
Potato Red,2017-10-14,Kg,33.0,35.0,34.0
Potato White,2017-10-14,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-10-14,Kg,58.0,60.0,59.0
Onion Green,2017-10-14,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-10-15,Kg,50.0,55.0,52.5
Tomato Small(Local),2017-10-15,Kg,52.0,60.0,56.0
Potato Red,2017-10-15,Kg,30.0,33.0,31.5
Potato White,2017-10-15,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-10-15,Kg,54.0,56.0,55.0
Onion Green,2017-10-15,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-10-16,Kg,55.0,60.0,57.5
Tomato Small(Local),2017-10-16,Kg,50.0,55.0,52.5
Potato Red,2017-10-16,Kg,30.0,32.0,31.0
Potato White,2017-10-16,Kg,28.0,30.0,29.0
Onion Dry (Indian),2017-10-16,Kg,53.0,55.0,54.0
Onion Green,2017-10-16,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-10-17,Kg,60.0,65.0,62.5
Tomato Small(Local),2017-10-17,Kg,45.0,55.0,50.0
Potato Red,2017-10-17,Kg,30.0,32.0,31.0
Potato White,2017-10-17,Kg,25.0,30.0,27.5
Onion Dry (Indian),2017-10-17,Kg,52.0,56.0,54.0
Onion Green,2017-10-17,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-10-18,Kg,60.0,65.0,62.5
Tomato Small(Local),2017-10-18,Kg,55.0,60.0,57.5
Potato Red,2017-10-18,Kg,30.0,32.0,31.0
Potato White,2017-10-18,Kg,25.0,30.0,27.5
Onion Dry (Indian),2017-10-18,Kg,58.0,60.0,59.0
Onion Green,2017-10-18,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-10-19,Kg,60.0,65.0,62.5
Tomato Small(Local),2017-10-19,Kg,55.0,60.0,57.5
Potato Red,2017-10-19,Kg,30.0,32.0,31.0
Potato White,2017-10-19,Kg,25.0,30.0,27.5
Onion Dry (Indian),2017-10-19,Kg,58.0,60.0,59.0
Onion Green,2017-10-19,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-10-20,Kg,30.0,35.0,32.5
Tomato Small(Local),2017-10-20,Kg,45.0,50.0,47.5
Potato Red,2017-10-20,Kg,30.0,32.0,31.0
Potato White,2017-10-20,Kg,25.0,30.0,27.5
Onion Dry (Indian),2017-10-20,Kg,50.0,60.0,55.0
Onion Green,2017-10-20,Kg,100.0,110.0,105.0
Tomato Big(Nepali),2017-10-21,Kg,75.0,80.0,77.5
Tomato Small(Local),2017-10-21,Kg,65.0,70.0,67.5
Potato Red,2017-10-21,Kg,30.0,32.0,31.0
Potato White,2017-10-21,Kg,25.0,30.0,27.5
Onion Dry (Indian),2017-10-21,Kg,58.0,60.0,59.0
Onion Green,2017-10-21,Kg,150.0,160.0,155.0
Tomato Big(Nepali),2017-10-22,Kg,65.0,70.0,67.5
Tomato Small(Local),2017-10-22,Kg,75.0,80.0,77.5
Potato Red,2017-10-22,Kg,45.0,48.0,46.5
Potato White,2017-10-22,Kg,30.0,35.0,32.5
Onion Dry (Indian),2017-10-22,Kg,58.0,60.0,59.0
Onion Green,2017-10-22,Kg,120.0,130.0,125.0
Tomato Big(Nepali),2017-10-23,Kg,60.0,65.0,62.5
Tomato Small(Local),2017-10-23,Kg,58.0,62.0,60.0
Potato Red,2017-10-23,Kg,48.0,50.0,49.0
Potato White,2017-10-23,Kg,35.0,40.0,37.5
Onion Dry (Indian),2017-10-23,Kg,58.0,60.0,59.0
Onion Green,2017-10-23,Kg,120.0,130.0,125.0
Tomato Big(Nepali),2017-10-24,Kg,65.0,70.0,67.5
Tomato Small(Local),2017-10-24,Kg,53.0,58.0,55.5
Potato Red,2017-10-24,Kg,45.0,48.0,46.5
Potato White,2017-10-24,Kg,35.0,40.0,37.5
Onion Dry (Indian),2017-10-24,Kg,58.0,60.0,59.0
Onion Green,2017-10-24,Kg,110.0,120.0,115.0
Tomato Big(Nepali),2017-10-25,Kg,60.0,65.0,62.5
Tomato Small(Local),2017-10-25,Kg,45.0,50.0,47.5
Potato Red,2017-10-25,Kg,40.0,45.0,42.5
Potato White,2017-10-25,Kg,35.0,40.0,37.5
Onion Dry (Indian),2017-10-25,Kg,63.0,65.0,64.0
Onion Green,2017-10-25,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-10-26,Kg,60.0,65.0,62.5
Tomato Small(Local),2017-10-26,Kg,45.0,50.0,47.5
Potato Red,2017-10-26,Kg,40.0,45.0,42.5
Potato White,2017-10-26,Kg,35.0,40.0,37.5
Onion Dry (Indian),2017-10-26,Kg,63.0,65.0,64.0
Onion Green,2017-10-26,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-10-27,Kg,60.0,65.0,62.5
Tomato Small(Local),2017-10-27,Kg,70.0,75.0,72.5
Potato Red,2017-10-27,Kg,40.0,45.0,42.5
Potato White,2017-10-27,Kg,35.0,40.0,37.5
Onion Dry (Indian),2017-10-27,Kg,63.0,65.0,64.0
Onion Green,2017-10-27,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-10-28,Kg,60.0,65.0,62.5
Tomato Small(Local),2017-10-28,Kg,70.0,75.0,72.5
Potato Red,2017-10-28,Kg,40.0,45.0,42.5
Potato White,2017-10-28,Kg,35.0,40.0,37.5
Onion Dry (Indian),2017-10-28,Kg,63.0,67.0,65.0
Onion Green,2017-10-28,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-10-29,Kg,70.0,75.0,72.5
Tomato Small(Local),2017-10-29,Kg,65.0,70.0,67.5
Potato Red,2017-10-29,Kg,43.0,45.0,44.0
Potato White,2017-10-29,Kg,35.0,40.0,37.5
Onion Dry (Indian),2017-10-29,Kg,63.0,65.0,64.0
Onion Green,2017-10-29,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-10-30,Kg,75.0,80.0,77.5
Tomato Small(Local),2017-10-30,Kg,70.0,75.0,72.5
Potato Red,2017-10-30,Kg,43.0,45.0,44.0
Potato White,2017-10-30,Kg,35.0,40.0,37.5
Onion Dry (Indian),2017-10-30,Kg,63.0,65.0,64.0
Sweet Potato,2017-10-30,Kg,45.0,50.0,47.5
Onion Green,2017-10-30,Kg,90.0,100.0,95.0
Tomato Big(Nepali),2017-10-31,Kg,90.0,95.0,92.5
Tomato Small(Local),2017-10-31,Kg,70.0,75.0,72.5
Potato Red,2017-10-31,Kg,43.0,45.0,44.0
Potato White,2017-10-31,Kg,35.0,40.0,37.5
Onion Dry (Indian),2017-10-31,Kg,63.0,65.0,64.0
Sweet Potato,2017-10-31,Kg,45.0,50.0,47.5
